Shipper,Origin Subdistrict,Origin City,Destination Subdistrict,Destination City,Transporter Pricing,Status,Shipment Type,Distance
SHP-0008,Cikarang Utara,Bekasi,Manyar,Gresik,"2,909,900",completed,w2w,773
SHP-0006,Cikarang Barat,Bekasi,Tanjung Priok,Jakarta Utara,"2,277,900",completed,mt,44
SHP-0001,Gunung Putri,Bogor,Beji,Pasuruan,"7,164,000",completed,w2w,798
SHP-0002,Cikarang Barat,Bekasi,Bawen,Semarang,"5,044,100",completed,w2w,445
SHP-0002,Cikarang Barat,Bekasi,Bawen,Semarang,"4,661,700",completed,w2w,445
SHP-0002,Cikarang Barat,Bekasi,Bawen,Semarang,"5,057,100",completed,w2w,445
SHP-0002,Cikarang Barat,Bekasi,Bawen,Semarang,"5,079,600",completed,w2w,445
SHP-0004,Grogol,Sukoharjo,Banjaran,Bandung,"5,610,300",completed,w2w,540
SHP-0004,Semarang Utara,Semarang,Cikarang,Bekasi,"4,678,400",completed,w2w,400
SHP-0004,Teras,Boyolali,Curug,Tangerang,"5,559,200",completed,w2w,545
SHP-0016,Cibitung,Bekasi,Duduk Sampeyan,Gresik,"6,762,300",completed,mt,749
SHP-0017,Cikarang Utara,Bekasi,Gedangan,Sidoarjo,"6,855,600",completed,mt,744
SHP-0018,Polanharjo,Klaten,Pandaan,Pasuruan,"4,257,700",completed,w2w,315
SHP-0019,Curug,Tangerang,Medan Satria,Bekasi,"2,997,500",completed,w2w,67
SHP-0018,Polanharjo,Klaten,Pandaan,Pasuruan,"4,180,800",completed,w2w,315
SHP-0019,Curug,Tangerang,Medan Satria,Bekasi,"2,993,500",completed,w2w,67
SHP-0002,Gresik,Gresik,Pandaan,Pasuruan,"1,740,500",completed,w2w,76
SHP-0018,Polanharjo,Klaten,Pandaan,Pasuruan,"4,295,500",completed,w2w,315
SHP-0002,Gresik,Gresik,Cikarang Barat,Bekasi,"5,326,100",completed,w2w,764
SHP-0002,Gresik,Gresik,Pandaan,Pasuruan,"1,755,300",completed,w2w,76
SHP-0018,Polanharjo,Klaten,Pandaan,Pasuruan,"1,642,800",completed,w2w,315
SHP-0018,Polanharjo,Klaten,Pandaan,Pasuruan,"4,282,000",completed,w2w,315
SHP-0002,Blimbing,Malang,Cikarang Barat,Bekasi,"5,303,200",completed,w2w,814
SHP-0009,Pungging,Mojokerto,Kalasan,Sleman,"3,505,400",completed,w2w,293
SHP-0009,Pungging,Mojokerto,Kalasan,Sleman,"3,489,500",completed,w2w,293
SHP-0008,Manyar,Gresik,Cikarang Utara,Bekasi,"6,949,200",completed,w2w,777
SHP-0002,Gresik,Gresik,Cikarang Barat,Bekasi,"5,004,600",completed,w2w,764
SHP-0004,Selogiri,Wonogiri,Babakan Ciparay,Bandung,"5,712,900",completed,w2w,551
SHP-0008,Manyar,Gresik,Cikarang Utara,Bekasi,"7,058,600",completed,w2w,777
SHP-0003,Klari,Karawang,Gununganyar,Surabaya,"2,742,900",completed,w2w,719
SHP-0002,Cikarang Barat,Bekasi,Bawen,Semarang,"5,063,200",completed,w2w,445
SHP-0003,Klari,Karawang,Gununganyar,Surabaya,"6,625,800",completed,w2w,719
SHP-0011,Tarumajaya,Bekasi,Sidoarjo,Sidoarjo,"7,108,000",completed,w2w,789
SHP-0020,Kalideres,Jakarta Barat,Pandaan,Pasuruan,"3,170,600",completed,w2w,836
SHP-0003,Klari,Karawang,Gununganyar,Surabaya,"2,836,100",completed,w2w,719
SHP-0011,Tarumajaya,Bekasi,Ngaliyan,Semarang,"4,870,500",completed,w2w,436
SHP-0016,Cibitung,Bekasi,Kedungkandang,Malang,"7,349,200",completed,mt,832.858
SHP-0019,Medan Satria,Bekasi,Medan Satria,Bekasi,"147,600",completed,w2w,0
SHP-0019,Medan Satria,Bekasi,Medan Satria,Bekasi,"139,600",completed,w2w,0
SHP-0021,Polanharjo,Klaten,Pandaan,Pasuruan,"4,255,900",completed,w2w,315
SHP-0021,Polanharjo,Klaten,Pandaan,Pasuruan,"4,157,800",completed,w2w,315
SHP-0021,Polanharjo,Klaten,Pandaan,Pasuruan,"4,257,700",completed,w2w,315
SHP-0021,Polanharjo,Klaten,Pandaan,Pasuruan,"4,343,500",completed,w2w,315
SHP-0022,Prigen,Pasuruan,Babakan Ciparay,Bandung,"7,269,300",completed,w2w,812
SHP-0021,Polanharjo,Klaten,Pandaan,Pasuruan,"4,210,800",completed,w2w,315
SHP-0023,Klari,Karawang,Ngaliyan,Semarang,"1,493,400",completed,gt,367
SHP-0023,Klari,Karawang,Waru,Sidoarjo,"2,767,400",completed,gt,714
SHP-0023,Klari,Karawang,Mlati,Sleman,"5,179,900",completed,gt,487
SHP-0024,Cikarang Pusat,Bekasi,Cikarang Barat,Bekasi,"157,350",completed,w2w,19
SHP-0024,Cikarang Pusat,Bekasi,Cikarang Barat,Bekasi,"1,030,800",completed,w2w,19
SHP-0024,Cikarang Pusat,Bekasi,Cikarang Barat,Bekasi,"132,000",completed,w2w,19
SHP-0024,Cikarang Pusat,Bekasi,Cikarang Barat,Bekasi,"1,011,700",completed,w2w,19
SHP-0024,Cikarang Pusat,Bekasi,Cikarang Barat,Bekasi,"1,034,600",completed,w2w,19
SHP-0025,Pulo Gadung,Jakarta Timur,Cikarang Barat,Bekasi,"1,729,800",completed,w2w,37
SHP-0025,Pulo Gadung,Jakarta Timur,Cikarang Barat,Bekasi,"205,700",completed,w2w,37
SHP-0001,Gunung Putri,Bogor,Beji,Pasuruan,"3,959,700",completed,w2w,798
SHP-0002,Bawen,Semarang,Cikarang Barat,Bekasi,"5,051,400",completed,w2w,442
SHP-0002,Cimanggung,Sumedang,Bawen,Semarang,"4,558,000",completed,w2w,390
SHP-0026,Batujajar,Bandung Barat,Beji,Pasuruan,"5,811,600",completed,w2w,794
SHP-0002,Blimbing,Malang,Cikarang Barat,Bekasi,"7,282,500",completed,w2w,814
SHP-0004,Sambung Macan,Sragen,Benda,Tangerang,"4,910,000",completed,w2w,595
SHP-0025,Pulo Gadung,Jakarta Timur,Cengkareng,Jakarta Barat,"1,571,800",completed,w2w,32
SHP-0008,Manyar,Gresik,Cikarang Utara,Bekasi,"6,683,800",completed,w2w,777
SHP-0008,Manyar,Gresik,Cikarang Utara,Bekasi,"3,935,100",completed,w2w,777
SHP-0027,Mojosari,Mojokerto,Cikarang Barat,Bekasi,"6,732,700",completed,w2w,722
SHP-0018,Polanharjo,Klaten,Pandaan,Pasuruan,"4,149,900",completed,w2w,315
SHP-0019,Curug,Tangerang,Medan Satria,Bekasi,"2,646,900",completed,w2w,67
SHP-0017,Cikarang Utara,Bekasi,Serengan,Surakarta,"5,399,100",completed,mt,498.398
SHP-0028,Cilegon,Cilegon,Klari,Karawang,"3,375,300",completed,w2w,166
SHP-0026,Batujajar,Bandung Barat,Beji,Pasuruan,"7,277,100",completed,w2w,794
SHP-0018,Polanharjo,Klaten,Pandaan,Pasuruan,"4,267,000",completed,w2w,315
SHP-0026,Batujajar,Bandung Barat,Beji,Pasuruan,"7,178,900",completed,w2w,794
SHP-0008,Manyar,Gresik,Cikarang Utara,Bekasi,"6,620,700",completed,w2w,777
SHP-0002,Blimbing,Malang,Cikarang Barat,Bekasi,"7,261,500",completed,w2w,814
SHP-0025,Pulo Gadung,Jakarta Timur,Serang,Serang,"2,879,600",completed,w2w,101
SHP-0002,Gresik,Gresik,Pandaan,Pasuruan,"1,749,800",completed,w2w,76
SHP-0002,Gresik,Gresik,Pandaan,Pasuruan,"1,736,000",completed,w2w,76
SHP-0002,Gresik,Gresik,Bawen,Semarang,"3,808,700",completed,w2w,341
SHP-0002,Gresik,Gresik,Pandaan,Pasuruan,"1,748,600",completed,w2w,76
SHP-0025,Cikarang Barat,Bekasi,Pulo Gadung,Jakarta Timur,"2,009,100",completed,w2w,37
SHP-0022,Prigen,Pasuruan,Kemang,Bogor,"3,208,700",completed,w2w,854
SHP-0022,Cikande,Serang,Telukjambe Timur,Karawang,"3,002,800",completed,w2w,123
SHP-0003,Kalideres,Jakarta Barat,Sleman,Sleman,"5,776,900",completed,gt,566
SHP-0003,Kalideres,Jakarta Barat,Sleman,Sleman,"5,748,400",completed,gt,566
SHP-0022,Cikande,Serang,Telukjambe Timur,Karawang,"3,084,100",completed,w2w,123
SHP-0003,Kalideres,Jakarta Barat,Sleman,Sleman,"5,762,900",completed,gt,566
SHP-0003,Kalideres,Jakarta Barat,Sleman,Sleman,"5,770,500",completed,gt,566
SHP-0021,Polanharjo,Klaten,Pandaan,Pasuruan,"1,360,400",completed,w2w,315
SHP-0021,Polanharjo,Klaten,Pandaan,Pasuruan,"4,262,800",completed,w2w,315
SHP-0002,Cikarang Barat,Bekasi,Bawen,Semarang,"5,075,600",completed,w2w,445
SHP-0021,Polanharjo,Klaten,Pandaan,Pasuruan,"4,143,200",completed,w2w,315
SHP-0021,Polanharjo,Klaten,Pandaan,Pasuruan,"4,263,400",completed,w2w,315
SHP-0021,Polanharjo,Klaten,Pandaan,Pasuruan,"1,382,100",completed,w2w,315
SHP-0022,Prigen,Pasuruan,Tarumajaya,Bekasi,"7,204,000",completed,w2w,813
SHP-0006,Cikarang Barat,Bekasi,Tarumajaya,Bekasi,"2,336,200",completed,mt,34
SHP-0013,Cibinong,Bogor,Jagakarsa,Jakarta Selatan,"2,427,800",completed,gt,44
SHP-0006,Cikarang Barat,Bekasi,Cinambo,Bandung,"677,000",completed,mt,132
SHP-0006,Cikarang Barat,Bekasi,Tarumajaya,Bekasi,"2,479,500",completed,mt,34
SHP-0006,Cikarang Barat,Bekasi,Cinambo,Bandung,"690,300",completed,mt,132
SHP-0006,Cikarang Barat,Bekasi,Tarumajaya,Bekasi,"211,800",completed,mt,34
SHP-0013,Cibinong,Bogor,Jagakarsa,Jakarta Selatan,"207,400",completed,gt,44
SHP-0013,Cibinong,Bogor,Tanjung Priok,Jakarta Utara,"2,504,400",completed,gt,56
SHP-0029,Asemrowo,Surabaya,Jogoroto,Jombang,"513,000",completed,w2w,92
SHP-0029,Asemrowo,Surabaya,Duduk Sampeyan,Gresik,"1,429,000",completed,w2w,26
SHP-0006,Cikarang Barat,Bekasi,Pademangan,Jakarta Utara,"364,500",completed,mt,48
SHP-0023,Klari,Karawang,Bubutan,Surabaya,"6,041,900",completed,gt,723
SHP-0016,Cikarang Barat,Bekasi,Ngaliyan,Semarang,"4,670,200",completed,mt,398
SHP-0023,Klari,Karawang,Taman,Sidoarjo,"5,978,700",completed,gt,715
SHP-0006,Cikarang Barat,Bekasi,Tarumajaya,Bekasi,"1,852,700",completed,mt,34
SHP-0004,Depok,Sleman,Cikarang Selatan,Bekasi,"5,512,800",completed,w2w,520
SHP-0004,Karanganyar,Karanganyar,Cikarang Utara,Bekasi,"2,067,900",completed,w2w,518
SHP-0025,Cikarang Barat,Bekasi,Pulo Gadung,Jakarta Timur,"191,500",completed,w2w,37
SHP-0002,Cikarang Barat,Bekasi,Bawen,Semarang,"5,077,000",completed,w2w,445
SHP-0002,Cikarang Barat,Bekasi,Bawen,Semarang,"5,057,900",completed,w2w,445
SHP-0002,Cikarang Barat,Bekasi,Bawen,Semarang,"5,073,000",completed,w2w,445
SHP-0004,Teras,Boyolali,Curug,Tangerang,"2,080,200",completed,w2w,545
SHP-0003,Kalideres,Jakarta Barat,Sleman,Sleman,"4,727,800",completed,gt,566
SHP-0003,Klari,Karawang,Grogol,Sukoharjo,"4,760,600",completed,gt,473
SHP-0030,Margorejo,Pati,Dayeuhkolot,Bandung,"2,022,300",completed,w2w,517
SHP-0031,Babakan Madang,Bogor,Gununganyar,Surabaya,"7,261,200",completed,w2w,814
SHP-0007,Margorejo,Pati,Ciamis,Ciamis,"1,313,800",completed,w2w,402
SHP-0003,Klari,Karawang,Ngaliyan,Semarang,"4,570,400",completed,gt,367
SHP-0012,Pati,Pati,Cikarang,Bekasi,"5,298,800",completed,w2w,487
SHP-0003,Klari,Karawang,Ciracas,Jakarta Timur,"2,742,300",completed,gt,72
SHP-0032,Pagedangan,Tangerang,Sukorejo,Pasuruan,"3,232,000",completed,w2w,850
SHP-0032,Pagedangan,Tangerang,Polanharjo,Klaten,"5,719,400",completed,w2w,556
SHP-0022,Prigen,Pasuruan,Kemang,Bogor,"7,521,900",completed,w2w,854
SHP-0032,Pagedangan,Tangerang,Sukorejo,Pasuruan,"7,470,100",completed,w2w,850
SHP-0022,Prigen,Pasuruan,Babakan Ciparay,Bandung,"2,992,500",completed,w2w,812
SHP-0032,Pagedangan,Tangerang,Polanharjo,Klaten,"5,727,800",completed,w2w,556
SHP-0004,Tandes,Surabaya,Cakung,Jakarta Timur,"7,010,300",completed,w2w,774
SHP-0022,Cikande,Serang,Tarumajaya,Bekasi,"2,859,200",completed,gt,94
SHP-0022,Cikande,Serang,Babakan Ciparay,Bandung,"1,146,700",completed,gt,213
SHP-0022,Cikande,Serang,Babakan Ciparay,Bandung,"3,655,300",completed,gt,213
SHP-0022,Cikande,Serang,Karawaci,Tangerang,"2,271,100",completed,gt,42
SHP-0002,Blimbing,Malang,Cikarang Barat,Bekasi,"4,156,600",completed,w2w,814
SHP-0002,Gresik,Gresik,Pandaan,Pasuruan,"1,736,400",completed,w2w,76
SHP-0002,Blimbing,Malang,Cikarang Barat,Bekasi,"7,270,900",completed,w2w,814
SHP-0002,Gresik,Gresik,Pandaan,Pasuruan,"1,759,900",completed,w2w,76
SHP-0002,Gresik,Gresik,Pandaan,Pasuruan,"1,770,500",completed,w2w,76
SHP-0022,Cikande,Serang,Rawalumbu,Bekasi,"2,833,100",completed,gt,91
SHP-0005,Buduran,Sidoarjo,Asemrowo,Surabaya,"1,834,200",completed,w2w,33
SHP-0004,Tandes,Surabaya,Cakung,Jakarta Timur,"7,052,100",completed,w2w,774
SHP-0006,Cikarang Barat,Bekasi,Pademangan,Jakarta Utara,"364,600",completed,mt,48
SHP-0002,Blimbing,Malang,Cimanggung,Sumedang,"3,808,300",completed,w2w,745
SHP-0002,Gresik,Gresik,Pandaan,Pasuruan,"1,770,300",completed,w2w,76
SHP-0002,Gresik,Gresik,Pandaan,Pasuruan,"1,740,600",completed,w2w,76
SHP-0022,Cikande,Serang,Rawalumbu,Bekasi,"235,600",completed,gt,91
SHP-0003,Gununganyar,Surabaya,Pesantren,Kediri,"2,219,100",completed,gt,123
SHP-0002,Gresik,Gresik,Pandaan,Pasuruan,"1,773,800",completed,w2w,76
SHP-0002,Blimbing,Malang,Cikarang Barat,Bekasi,"7,412,600",completed,w2w,814
SHP-0002,Gresik,Gresik,Pandaan,Pasuruan,"1,750,300",completed,w2w,76
SHP-0002,Blimbing,Malang,Cimanggung,Sumedang,"2,800,100",completed,w2w,745
SHP-0002,Blimbing,Malang,Cikarang Barat,Bekasi,"7,135,800",completed,w2w,814
SHP-0009,Ngajung (Ngajum),Malang,Gunung Putri,Bogor,"7,592,600",completed,gt,868
SHP-0002,Gresik,Gresik,Pandaan,Pasuruan,"1,810,400",completed,w2w,76
SHP-0003,Gununganyar,Surabaya,Magersari,Mojokerto,"1,787,900",completed,gt,52
SHP-0006,Cikarang Barat,Bekasi,Cibodas,Tangerang,"468,500",completed,w2w,68
SHP-0011,Tarumajaya,Bekasi,Sidoarjo,Sidoarjo,"7,001,800",completed,w2w,789
SHP-0033,Demak,Demak,Pondok Aren,Tangerang Selatan,"5,336,000",completed,w2w,493
SHP-0012,Pati,Pati,Kosambi,Tangerang,"5,657,200",completed,w2w,550
SHP-0033,Demak,Demak,Karawaci,Tangerang,"5,365,200",completed,w2w,499
SHP-0034,Polanharjo,Klaten,Bangil,Pasuruan,"4,162,100",completed,w2w,312.033
SHP-0034,Polanharjo,Klaten,Asemrowo,Surabaya,"4,125,000",completed,w2w,287.545
SHP-0022,Prigen,Pasuruan,Penjaringan,Jakarta Utara,"7,183,400",completed,w2w,828
SHP-0019,Medan Satria,Bekasi,Medan Satria,Bekasi,"499,600",completed,w2w,0
SHP-0011,Tarumajaya,Bekasi,Ngaliyan,Semarang,"4,994,500",completed,w2w,436
SHP-0003,Kalideres,Jakarta Barat,Sleman,Sleman,"5,655,200",completed,gt,566
SHP-0023,Klari,Karawang,Taman,Sidoarjo,"3,624,700",completed,gt,715
SHP-0016,Cikarang Barat,Bekasi,Tenggilis Mejoyo,Surabaya,"6,863,600",completed,mt,746
SHP-0016,Cikarang Barat,Bekasi,Tenggilis Mejoyo,Surabaya,"6,842,100",completed,mt,746
SHP-0018,Polanharjo,Klaten,Bangil,Pasuruan,"4,000,000",completed,w2w,312.033
SHP-0002,Cikarang Barat,Bekasi,Bawen,Semarang,"5,065,600",completed,w2w,445
SHP-0002,Cikarang Barat,Bekasi,Bawen,Semarang,"5,074,500",completed,w2w,445
SHP-0003,Klari,Karawang,Cakung,Jakarta Timur,"2,124,700",completed,gt,67
SHP-0003,Klari,Karawang,Jagakarsa,Jakarta Selatan,"427,500",completed,gt,80
SHP-0003,Klari,Karawang,Ciamis,Ciamis,"3,627,000",completed,gt,205
SHP-0002,Cimanggung,Sumedang,Bawen,Semarang,"4,748,600",completed,w2w,390
SHP-0022,Cikande,Serang,Tarumajaya,Bekasi,"2,903,000",completed,w2w,94
SHP-0003,Klari,Karawang,Cibogo,Subang,"2,095,300",completed,gt,65
SHP-0004,Sambung Macan,Sragen,Babakancikao,Purwakarta,"4,927,800",completed,w2w,504
SHP-0022,Cikande,Serang,Pondok Aren,Tangerang Selatan,"2,510,200",completed,w2w,55
SHP-0022,Cikande,Serang,Karawaci,Tangerang,"320,400",completed,w2w,42
SHP-0022,Cikande,Serang,Rawalumbu,Bekasi,"598,100",completed,w2w,91
SHP-0002,Blimbing,Malang,Cikarang Barat,Bekasi,"7,253,500",completed,w2w,814
SHP-0027,Mojosari,Mojokerto,Rawalumbu,Bekasi,"6,765,000",completed,w2w,731
SHP-0035,Manyar,Gresik,Ciwandan,Cilegon,"3,421,600",completed,w2w,919
SHP-0002,Blimbing,Malang,Cimanggung,Sumedang,"2,858,100",completed,w2w,745
SHP-0008,Manyar,Gresik,Cikarang Utara,Bekasi,"2,904,600",completed,w2w,777
SHP-0017,Cikarang Utara,Bekasi,Gedangan,Sidoarjo,"6,714,000",completed,mt,744
SHP-0009,Driyorejo,Gresik,Soreang,Bandung,"6,989,800",completed,w2w,763
SHP-0003,Klari,Karawang,Ngaliyan,Semarang,"1,466,500",completed,gt,367
SHP-0002,Blimbing,Malang,Cikarang Barat,Bekasi,"7,280,500",completed,w2w,814
SHP-0016,Cikarang Barat,Bekasi,Bubutan,Surabaya,"2,845,800",completed,gt,755
SHP-0007,Margorejo,Pati,Indihiang,Tasikmalaya,"1,609,300",completed,w2w,400
SHP-0002,Gresik,Gresik,Pandaan,Pasuruan,"1,743,800",completed,w2w,76
SHP-0002,Gresik,Gresik,Pandaan,Pasuruan,"1,760,000",completed,w2w,76
SHP-0027,Mojosari,Mojokerto,Rawalumbu,Bekasi,"2,841,500",completed,w2w,731
SHP-0009,Driyorejo,Gresik,Bogor Utara,Bogor,"7,438,100",completed,w2w,787
SHP-0003,Klari,Karawang,Cengkareng,Jakarta Barat,"466,200",completed,gt,93
SHP-0003,Klari,Karawang,Purwokerto Selatan,Banyumas,"1,474,500",completed,gt,295
SHP-0002,Blimbing,Malang,Cikarang Barat,Bekasi,"7,159,400",completed,w2w,814
SHP-0001,Gunung Putri,Bogor,Beji,Pasuruan,"7,173,000",completed,w2w,798
SHP-0002,Cikarang Barat,Bekasi,Bawen,Semarang,"4,930,600",completed,w2w,445
SHP-0002,Cikarang Barat,Bekasi,Bawen,Semarang,"5,037,500",completed,w2w,445
SHP-0002,Cikarang Barat,Bekasi,Bawen,Semarang,"5,064,700",completed,w2w,445
SHP-0008,Manyar,Gresik,Cikarang Utara,Bekasi,"6,924,600",completed,w2w,777
SHP-0008,Manyar,Gresik,Cikarang Utara,Bekasi,"6,643,300",completed,w2w,777
SHP-0022,Cikande,Serang,Karawaci,Tangerang,"2,869,500",completed,gt,42
SHP-0022,Prigen,Pasuruan,Kemang,Bogor,"7,471,200",completed,w2w,854
SHP-0008,Manyar,Gresik,Cikarang Utara,Bekasi,"6,947,300",completed,w2w,777
SHP-0022,Prigen,Pasuruan,Babakan Ciparay,Bandung,"3,017,000",completed,w2w,812
SHP-0002,Gresik,Gresik,Cimanggung,Sumedang,"6,534,900",completed,w2w,694
SHP-0002,Gresik,Gresik,Cimanggung,Sumedang,"6,541,200",completed,w2w,694
SHP-0023,Klari,Karawang,Taman,Sidoarjo,"6,676,000",completed,gt,715
SHP-0013,Cibinong,Bogor,Jagakarsa,Jakarta Selatan,"2,228,300",completed,w2w,44
SHP-0013,Cibinong,Bogor,Penjaringan,Jakarta Utara,"386,900",completed,gt,62
SHP-0032,Pagedangan,Tangerang,Sukorejo,Pasuruan,"4,321,600",completed,w2w,850
SHP-0002,Gresik,Gresik,Cimanggung,Sumedang,"6,443,500",completed,w2w,694
SHP-0016,Cikarang Barat,Bekasi,Sumber Sari,Jember,"7,942,300",completed,gt,925
SHP-0002,Gresik,Gresik,Cimanggung,Sumedang,"2,677,700",completed,w2w,694
SHP-0008,Manyar,Gresik,Cikarang Utara,Bekasi,"6,920,000",completed,w2w,777
SHP-0008,Manyar,Gresik,Cikarang Utara,Bekasi,"6,940,300",completed,w2w,777
SHP-0008,Manyar,Gresik,Cikarang Utara,Bekasi,"7,034,700",completed,w2w,777
SHP-0036,Cibitung,Bekasi,Cibinong,Bogor,"1,602,900",completed,mt,68
SHP-0036,Cibitung,Bekasi,Cibinong,Bogor,"1,604,700",completed,mt,68
SHP-0002,Bawen,Semarang,Cikarang Barat,Bekasi,"5,056,600",completed,w2w,442
SHP-0002,Bawen,Semarang,Cikarang Barat,Bekasi,"5,030,500",completed,w2w,442
SHP-0003,Klari,Karawang,Rawalumbu,Bekasi,"2,528,300",completed,gt,53
SHP-0003,Klari,Karawang,Sukabumi,Sukabumi,"3,221,600",completed,gt,156
SHP-0003,Klari,Karawang,Purwakarta,Purwakarta,"1,577,700",completed,gt,29
SHP-0003,Klari,Karawang,Cimahi Selatan,Cimahi,"2,727,400",completed,gt,81
SHP-0002,Bawen,Semarang,Cikarang Barat,Bekasi,"5,061,800",completed,w2w,442
SHP-0022,Klapanunggal,Bogor,Babakan Ciparay,Bandung,"3,296,700",completed,w2w,172
SHP-0037,Prambanan,Sleman,Medan Satria,Bekasi,"5,657,800",completed,w2w,542
SHP-0022,Klapanunggal,Bogor,Babakan Ciparay,Bandung,"3,284,300",completed,w2w,172
SHP-0031,Babakan Madang,Bogor,Krembangan,Surabaya,"7,285,000",completed,w2w,818
SHP-0002,Gresik,Gresik,Pandaan,Pasuruan,"1,760,600",completed,w2w,76
SHP-0002,Gresik,Gresik,Cimanggung,Sumedang,"5,492,400",completed,w2w,694
SHP-0002,Gresik,Gresik,Cimanggung,Sumedang,"5,495,700",completed,w2w,694
SHP-0004,Teras,Boyolali,Curug,Tangerang,"3,314,000",completed,w2w,545
SHP-0031,Babakan Madang,Bogor,Krembangan,Surabaya,"7,314,900",completed,w2w,818
SHP-0031,Babakan Madang,Bogor,Karangpilang,Surabaya,"7,227,000",completed,w2w,802
SHP-0002,Gresik,Gresik,Pandaan,Pasuruan,"1,778,400",completed,w2w,76
SHP-0002,Gresik,Gresik,Cimanggung,Sumedang,"5,519,400",completed,w2w,694
SHP-0022,Prigen,Pasuruan,Karawaci,Tangerang,"3,167,100",completed,w2w,845
SHP-0002,Gresik,Gresik,Cimanggung,Sumedang,"6,545,200",completed,w2w,694
SHP-0004,Karanganyar,Karanganyar,Cikarang Utara,Bekasi,"2,014,100",completed,w2w,518
SHP-0022,Prigen,Pasuruan,Penjaringan,Jakarta Utara,"7,340,000",completed,w2w,828
SHP-0002,Gresik,Gresik,Cimanggung,Sumedang,"5,529,600",completed,w2w,694
SHP-0002,Gresik,Gresik,Cimanggung,Sumedang,"5,492,900",completed,w2w,694
SHP-0001,Gunung Putri,Bogor,Beji,Pasuruan,"7,167,600",completed,w2w,798
SHP-0008,Manyar,Gresik,Cikarang Utara,Bekasi,"2,914,000",completed,w2w,777
SHP-0019,Medan Satria,Bekasi,Medan Satria,Bekasi,"528,200",completed,w2w,0
SHP-0013,Cibinong,Bogor,Jagakarsa,Jakarta Selatan,"2,201,700",completed,gt,44
SHP-0038,Pandaan,Pasuruan,Sleman,Sleman,"4,498,000",completed,w2w,354
SHP-0019,Medan Satria,Bekasi,Medan Satria,Bekasi,"153,500",completed,w2w,0
